original_entry_id,original_label,original_destination,feature_code,canonical_route_id,module,category,task,owner,access_policy,availability,unavailable_reason,screen_pattern,primary_action,normal_viewport_expectation,constrained_viewport_expectation,implementation_status,navigation_result,search_result,state_result,visual_result,keyboard_result,installed_result,evidence,open_issue
report-sales-titan,Titan Sales Summary,Sales Reports,sales-titan,report-sales-titan,Reports,Sales,Titan Sales Summary,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-sales-helios,Helios Sales Summary,Sales Reports,sales-helios,report-sales-helios,Reports,Sales,Helios Sales Summary,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-sales-combined,Combined Sales Summary,Sales Reports,sales-combined,report-sales-combined,Reports,Sales,Combined Sales Summary,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-invoice,Invoice Summary,Sales Reports,invoice,report-invoice,Reports,Sales,Invoice Summary,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-sales-returns,Returns,Sales Reports,sales-returns,report-sales-returns,Reports,Sales,Returns,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-sales-brand,Brand-wise Sales,Sales Reports,sales-brand,report-sales-brand,Reports,Sales,Brand-wise Sales,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-sales-segment,Brand-Segment Sales,Sales Reports,sales-segment,report-sales-segment,Reports,Sales,Brand-Segment Sales,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-sales-item,Item-wise Sales,Sales Reports,sales-item,report-sales-item,Reports,Sales,Item-wise Sales,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-stock-closing,Closing Stock,Sales Reports,stock-closing,report-stock-closing,Reports,Stock,Closing Stock,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-stock-physical,Physical Stock,Sales Reports,stock-physical,report-stock-physical,Reports,Stock,Physical Stock,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-stock-variance,Stock Variance,Sales Reports,stock-variance,report-stock-variance,Reports,Stock,Stock Variance,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-stock-movement,Stock Movement,Sales Reports,stock-movement,report-stock-movement,Reports,Stock,Stock Movement,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-stock-group,Inventory-Group Report,Sales Reports,stock-group,report-stock-group,Reports,Stock,Inventory-Group Report,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-stock-brand,Brand Stock,Sales Reports,stock-brand,report-stock-brand,Reports,Stock,Brand Stock,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-stock-slow,Slow / Exception Stock,Sales Reports,stock-slow,report-stock-slow,Reports,Stock,Slow / Exception Stock,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-staff,Staff/CRO Performance,Sales Reports,staff,report-staff,Reports,Staff,Staff/CRO Performance,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-tender,Tender Reconciliation,Sales Reports,tender,report-tender,Reports,Tender / Cash,Tender Reconciliation,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
report-cash,Daily Cash Reconciliation,Sales Reports,cash,report-cash,Reports,Tender / Cash,Daily Cash Reconciliation,Shell,1,ACTIVE,,Report,Refresh Preview; Actions for export,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md; artifacts/ui-redesign/20260912-sprint/report-states-r7/report-state-results.json; local-followup/exports-after/comparison.json and fixture-value-verification.json: programmatic file checks, not installed interaction","Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
