"FunctionId","Kind","Function","Active","ReviewStatus","StaticReview","AutomatedBehavior","RenderCoverage","ObservedInteraction","SourceReference","CurrentEvidence","AssignedEvidenceLayers","RemainingVerification","DeferredReason"
"navigation:daily-health","Navigation function","Daily Health","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:manual-entry","Navigation function","Manual Entry","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; live-sql-daily-workflow; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:readiness","Navigation function","Readiness","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; live-sql-daily-workflow; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:finalisation","Navigation function","Finalisation Status","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; live-sql-daily-workflow; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:trends","Navigation function","Trends","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; live-sql-operations; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:store-comparison","Navigation function","Store Comparison","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:target-progress","Navigation function","Target Progress","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:control-summary","Navigation function","Control Summary","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; live-sql-operations; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:recent-activity","Navigation function","Recent Activity","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-workspaces; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:reports-home","Navigation function","Reports Overview","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:reports-dsr-favourite","Navigation function","Daily Sales / DSR","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:reports-closing-favourite","Navigation function","Closing Stock","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:reports-staff-favourite","Navigation function","Staff/CRO Performance","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-dsr","Navigation function","Daily Sales / DSR","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-sales-titan","Navigation function","Titan Sales Summary","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-sales-helios","Navigation function","Helios Sales Summary","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-sales-combined","Navigation function","Combined Sales Summary","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-invoice","Navigation function","Invoice Summary","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-sales-returns","Navigation function","Returns","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-sales-brand","Navigation function","Brand-wise Sales","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-sales-segment","Navigation function","Brand-Segment Sales","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-sales-item","Navigation function","Item-wise Sales","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-stock-closing","Navigation function","Closing Stock","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-stock-physical","Navigation function","Physical Stock","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-stock-variance","Navigation function","Stock Variance","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-stock-movement","Navigation function","Stock Movement","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-stock-group","Navigation function","Inventory-Group Report","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-stock-brand","Navigation function","Brand Stock","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-stock-slow","Navigation function","Slow / Exception Stock","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-staff","Navigation function","Staff/CRO Performance","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-tender","Navigation function","Tender Reconciliation","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-cash","Navigation function","Daily Cash Reconciliation","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-tender-diagnostic","Navigation function","Tender Diagnostics","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-service","Navigation function","Service Sales","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
"navigation:report-exceptions","Navigation function","Daily Exception Report","True","STATIC_ONLY","REGISTRY_OR_ROUTING_INSPECTED","NOT_VERIFIED_PER_FUNCTION","NOT_RUN_CURRENT_SOURCE","NOT_RUN","src/Etp.Reporting.Desktop/UiNavigation.cs","Compiled inventory: verification/review-2026-09-11/verified/function-coverage.json; integrated audit 2026-09-11T13:57:45Z to 13:58:55Z PASS; aggregate suite is not per-function verification","ui-all-report-routes; live-sql-reporting; dotnet-tests","Function-specific assertions; complete workflow interactions; applicable normal/empty/invalid/loading/failed/restricted/locked states; store/date switch; repeated action; cancellation; navigation",""
