"ScenarioId","Area","Scenario","OwnerExpected","StoreManagerExpected","ViewerExpected","ExpectedEvidence","Result","EvidenceReference","DefectId","Tester","ExecutedUtc"
"IMP-011","Source Inbox","Search, document selection, OCR/native PDF states and linkage","ALLOW","ALLOW","VIEW","Source/document IDs without confidential content","NOT RUN","","","",""
"RPT-001","Reports","Daily Sales / DSR","ALLOW","ALLOW","ALLOW","FTD/MTD/YTD and LY availability states","NOT RUN","","","",""
"RPT-002","Reports","Titan Sales Summary","ALLOW","ALLOW","ALLOW","WLMHW totals and controls","NOT RUN","","","",""
"RPT-003","Reports","Helios Sales Summary","ALLOW","ALLOW","ALLOW","HEMW totals and controls","NOT RUN","","","",""
"RPT-004","Reports","Combined Sales Summary","ALLOW","ALLOW","ALLOW","Combined net sales 4600; signed units 4","NOT RUN","","","",""
"RPT-005","Reports","Invoice Summary","ALLOW","ALLOW","ALLOW","6 customer-safe invoice controls","NOT RUN","","","",""
"RPT-006","Reports","Returns","ALLOW","ALLOW","ALLOW","Signed-negative return rows preserved","NOT RUN","","","",""
"RPT-007","Reports","Brand-wise Sales","ALLOW","ALLOW","ALLOW","Partition reconciles to canonical sales","NOT RUN","","","",""
"RPT-008","Reports","Brand-Segment Sales","ALLOW","ALLOW","ALLOW","Partition reconciles to canonical sales","NOT RUN","","","",""
"RPT-009","Reports","Item-wise Sales","ALLOW","ALLOW","ALLOW","SKU detail and canonical total","NOT RUN","","","",""
"RPT-010","Reports","Closing Stock","ALLOW","ALLOW","ALLOW","4 rows; quantity 60","NOT RUN","","","",""
"RPT-011","Reports","Physical Stock","ALLOW","ALLOW","ALLOW","Counts, explicit zero, warning and variances","NOT RUN","","","",""
"RPT-012","Reports","Stock Variance","ALLOW","ALLOW","ALLOW","Opening + movements versus closing","NOT RUN","","","",""
"RPT-013","Reports","Stock Movement","ALLOW","ALLOW","ALLOW","Source-signed INV/SR movement","NOT RUN","","","",""
"RPT-014","Reports","Inventory-Group Report","ALLOW","ALLOW","ALLOW","GAUTO and WQ groups","NOT RUN","","","",""
"RPT-015","Reports","Brand Stock","ALLOW","ALLOW","ALLOW","Brand/segment stock totals","NOT RUN","","","",""
"RPT-016","Reports","Slow / Exception Stock","ALLOW","ALLOW","ALLOW","Availability/empty state is truthful","NOT RUN","","","",""
"RPT-017","Reports","Staff/CRO Performance","ALLOW","ALLOW","ALLOW","Attributed sales reconcile; targets/rank","NOT RUN","","","",""
"RPT-018","Reports","Tender Reconciliation","ALLOW","ALLOW","ALLOW","Eligible tender 4600; variance zero","NOT RUN","","","",""
"RPT-019","Reports","Daily Cash Reconciliation","ALLOW","ALLOW","ALLOW","Formula, counted cash and zero values","NOT RUN","","","",""
"RPT-020","Reports","Tender Diagnostics","ALLOW","ALLOW","ALLOW","Quarantine visible; no control mutation","NOT RUN","","","",""
"RPT-021","Reports","Service Sales","ALLOW","ALLOW","ALLOW","Audited manual source; zero is present","NOT RUN","","","",""
"RPT-022","Reports","Daily Exception Report","ALLOW","ALLOW","ALLOW","Intentional composition warning visible","NOT RUN","","","",""
"RPT-023","Reports","Missing Source Report","ALLOW","ALLOW","ALLOW","Complete state then controlled missing-source state","NOT RUN","","","",""
"RPT-024","Reports","Unmapped Data","ALLOW","ALLOW","ALLOW","No false mapping; empty/warning state","NOT RUN","","","",""
"RPT-025","Reports","Stock Exceptions","ALLOW","ALLOW","ALLOW","Composition warning and recommendations","NOT RUN","","","",""
"RPT-026","Reports","Staff Exceptions","ALLOW","ALLOW","ALLOW","Reconciled/empty state is truthful","NOT RUN","","","",""
"RPT-027","Reports","Tender Exceptions","ALLOW","ALLOW","ALLOW","Quarantine/variance semantics","NOT RUN","","","",""
"RPT-028","Reports","Management Trend","ALLOW","ALLOW","ALLOW","Sales/units/invoices trend populated","NOT RUN","","","",""
"RPT-029","Reports","Invoice Source Drill-down","ALLOW","ALLOW","ALLOW","Workbook/sheet/row lineage; no PII","NOT RUN","","","",""
"RPT-030","Report UX","Period/scope, search, sort, filter, variance-only and drill-down","ALLOW","ALLOW","ALLOW","Interaction recording across representative reports","NOT RUN","","","",""
"RPT-031","Export","Excel and PDF export for report and complete pack","ALLOW","ALLOW","ALLOW","Files open; totals/layout/metadata accepted","NOT RUN","","","",""
"ARC-001","Archive","Generations, final packs, restatements and immutable history","ALLOW","ALLOW","VIEW","Generation history and final flags","NOT RUN","","","",""
"ARC-002","Archive","Compare generations and re-export exact archived document","ALLOW","ALLOW","ALLOW","Comparison and matching document hash","NOT RUN","","","",""
"ARC-003","Sharing","Prepare email/WhatsApp/ZIP without false delivery claim","ALLOW","ALLOW","ALLOW","Prepared artifact; client result; audit wording","NOT RUN","","","",""
"REG-001","Registers","Inward, outward, credit note and service receipt registers","ALLOW","ALLOW","VIEW","Create/read/search/audit and document linkage","NOT RUN","","","",""
"REG-002","Registers","Stock transfer, expense and vendor invoice registers","ALLOW","ALLOW","VIEW","Create/read/search/audit and document linkage","NOT RUN","","","",""
"REG-003","Registers","Courier register remains explicitly unavailable","DECLARED UNAVAILABLE","DECLARED UNAVAILABLE","DECLARED UNAVAILABLE","Disabled state and reason","NOT RUN","","","",""
"ACC-001","Accounting","Prepare batch, validate balance and inspect reconciliation","ALLOW","ALLOW","VIEW","Balanced preview and control totals","NOT RUN","","","",""
"ACC-002","Accounting","Ledger mapping review and approval segregation","ALLOW","DENY APPROVAL","DENY MUTATION","Allowed/denied evidence and audit history","NOT RUN","","","",""
"ACC-003","Accounting","Tally XML export and export history","ALLOW","ALLOW","VIEW","Golden structure; debit/credit balance; history","NOT RUN","","","",""
"OPS-001","Operations","Exception inbox, investigation search and issue update","ALLOW","ALLOW LIMITED","VIEW","Status history and role denials","NOT RUN","","","",""
"OPS-002","Operations","Watch-folder settings and duplicate-safe run","ALLOW","DENY SETTINGS","VIEW","Settings audit; processed duplicate; run history","NOT RUN","","","",""
"OPS-003","Operations","Scheduler settings and due combined report run","ALLOW","DENY SETTINGS","VIEW","Task/run history and generated pack","NOT RUN","","","",""
"OPS-004","Approvals","Adjustment submission and Owner decision","ALLOW","SUBMIT ONLY","VIEW","Pending/approved/denied states and audit","NOT RUN","","","",""
"ADM-001","Administration","Users/roles and last-Owner protection","ALLOW","DENY","DENY","Direct-path denial and retained Owner","NOT RUN","","","",""
"ADM-002","Administration","Stores, masters, products, profiles, KPI and tender rules","ALLOW","DENY","DENY","Before/after audit and direct-path denial","NOT RUN","","","",""
"ADM-003","Settings","Connection, health, paths, OCR and sharing contacts","ALLOW","DENY","DENY","Safe settings persistence and role denial","NOT RUN","","","",""
"REC-001","Recovery","Checksum backup, verify-only, isolated restore and lineage controls","ALLOW","DENY","DENY","Backup receipt; DBCC; restored control totals","NOT RUN","","","",""
"REC-002","Recovery","Daily backup/monthly drill tasks and reboot continuity","ALLOW","DENY","DENY","Task history, service startup and application health","NOT RUN","","","",""
"A11Y-001","Accessibility","Keyboard-only completion, focus order and shortcuts","ALLOW","ALLOW","ALLOW","Observed checklist and recording","NOT RUN","","","",""
"A11Y-002","Accessibility","Narrator, names, state, errors, grids and live regions","ALLOW","ALLOW","ALLOW","Narrator/Accessibility Insights evidence","NOT RUN","","","",""
"A11Y-003","Accessibility","100/125/150/200% scaling, 200% text and high contrast","ALLOW","ALLOW","ALLOW","Screenshot matrix; no clipped critical action","NOT RUN","","","",""
"HW-001","Hardware","Touch, actual Excel, PDF viewer and physical printer","ALLOW","ALLOW","ALLOW","Device/Office/printer record and outputs","NOT RUN","","","",""
"SEC-001","Privacy/Security","No PII in reports, logs, exports or support package","ALLOW","ALLOW","ALLOW","Package inspection and safe evidence","NOT RUN","","","",""
"SEC-002","Privacy/Security","Role bypass, path and locked-day direct mutation attempts fail","ALLOW","DENY","DENY","No state change; audit/error evidence","NOT RUN","","","",""
"FINAL-001","Final gate","Business owner accepts totals, wording, workflows and declared deferrals","APPROVE/REJECT","COMMENT","COMMENT","Named dated acceptance statement","NOT RUN","","","",""
